 col,row,time,value
         8,         7,  0.1540000E+04,  0.5594000E+00
         8,         7,  0.1550000E+04,  0.5590000E+00
         8,         7,  0.1560000E+04,  0.5587000E+00
         8,         7,  0.1570000E+04,  0.5583000E+00
         8,         7,  0.1580000E+04,  0.5579000E+00
         8,         7,  0.1590000E+04,  0.5576000E+00
         8,         7,  0.1600000E+04,  0.5572000E+00
         8,         7,  0.1610000E+04,  0.5569000E+00
         8,         7,  0.1620000E+04,  0.5565000E+00
         8,         7,  0.1630000E+04,  0.5562000E+00
         8,         7,  0.1640000E+04,  0.5558000E+00
         8,         7,  0.1650000E+04,  0.5555000E+00
         8,         7,  0.1660000E+04,  0.5551000E+00
         8,         7,  0.1670000E+04,  0.5548000E+00
         8,         7,  0.1680000E+04,  0.5545000E+00
         8,         7,  0.1690000E+04,  0.5541000E+00
         8,         7,  0.1700000E+04,  0.5538000E+00
         8,         7,  0.1710000E+04,  0.5534000E+00
         8,         7,  0.1720000E+04,  0.5531000E+00
         8,         7,  0.1730000E+04,  0.5527000E+00
         8,         7,  0.1740000E+04,  0.5524000E+00
         8,         7,  0.1750000E+04,  0.5520000E+00
         8,         7,  0.1760000E+04,  0.5517000E+00
         8,         7,  0.1770000E+04,  0.5513000E+00
         8,         7,  0.1780000E+04,  0.5510000E+00
         8,         7,  0.1790000E+04,  0.5506000E+00
         8,         7,  0.1800000E+04,  0.5502000E+00
         8,         7,  0.1810000E+04,  0.5498000E+00
         8,         7,  0.1820000E+04,  0.5495000E+00
         8,         7,  0.1830000E+04,  0.5491000E+00
         8,         7,  0.1840000E+04,  0.5487000E+00
         8,         7,  0.1850000E+04,  0.5483000E+00
         8,         7,  0.1860000E+04,  0.5479000E+00
         8,         7,  0.1870000E+04,  0.5474000E+00
         8,         7,  0.1880000E+04,  0.5470000E+00
         8,         7,  0.1890000E+04,  0.5466000E+00
         8,         7,  0.1900000E+04,  0.5462000E+00
         8,         7,  0.1910000E+04,  0.5457000E+00
         8,         7,  0.1920000E+04,  0.5453000E+00
         8,         7,  0.1930000E+04,  0.5448000E+00
         8,         7,  0.1940000E+04,  0.5443000E+00
         8,         7,  0.1950000E+04,  0.5439000E+00
         8,         7,  0.1960000E+04,  0.5434000E+00
         8,         7,  0.1970000E+04,  0.5429000E+00
         8,         7,  0.1980000E+04,  0.5423000E+00
         8,         7,  0.1990000E+04,  0.5418000E+00
         8,         7,  0.2000000E+04,  0.5412000E+00
         8,         7,  0.2010000E+04,  0.5406000E+00
         8,         7,  0.2020000E+04,  0.5400000E+00
         8,         7,  0.2030000E+04,  0.5393000E+00
         8,         7,  0.2040000E+04,  0.5387000E+00
         8,         7,  0.2050000E+04,  0.5380000E+00
         8,         7,  0.2060000E+04,  0.5373000E+00
         8,         7,  0.2070000E+04,  0.5366000E+00
         8,         7,  0.2080000E+04,  0.5359000E+00
         8,         7,  0.2090000E+04,  0.5352000E+00
         8,         7,  0.2100000E+04,  0.5345000E+00
         8,         7,  0.2110000E+04,  0.5338000E+00
         8,         7,  0.2120000E+04,  0.5330000E+00
         8,         7,  0.2130000E+04,  0.5323000E+00
         8,         7,  0.2140000E+04,  0.5316000E+00
         8,         7,  0.2150000E+04,  0.5308000E+00
         8,         7,  0.2160000E+04,  0.5301000E+00
         8,         7,  0.2170000E+04,  0.5288000E+00
         8,         7,  0.2180000E+04,  0.5273000E+00
         8,         7,  0.2190000E+04,  0.5257000E+00
         8,         7,  0.2200000E+04,  0.5242000E+00
         8,         7,  0.2210000E+04,  0.5227000E+00
         8,         7,  0.2220000E+04,  0.5212000E+00
         8,         7,  0.2230000E+04,  0.5198000E+00
         8,         7,  0.2240000E+04,  0.5183000E+00
         8,         7,  0.2250000E+04,  0.5169000E+00
         8,         7,  0.2260000E+04,  0.5156000E+00
         8,         7,  0.2270000E+04,  0.5142000E+00
         8,         7,  0.2280000E+04,  0.5129000E+00
         8,         7,  0.2290000E+04,  0.5117000E+00
         8,         7,  0.2300000E+04,  0.5104000E+00
         8,         7,  0.2310000E+04,  0.5092000E+00
         8,         7,  0.2320000E+04,  0.5080000E+00
